Date	Source	Source.gear	depth.ft	temp.f
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	75.02
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	75.56
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	75.74
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	76.1
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	77
7/19/2012	FISHERIES_DEPTH_OXY	WQ	3	75.38
7/19/2012	FISHERIES_DEPTH_OXY	WQ	5	75.02
7/19/2012	FISHERIES_DEPTH_OXY	WQ	5	75.38
7/19/2012	FISHERIES_DEPTH_OXY	WQ	6	75.38
7/19/2012	FISHERIES_DEPTH_OXY	WQ	9	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	10	74.66
7/19/2012	FISHERIES_DEPTH_OXY	WQ	10	75.02
7/19/2012	FISHERIES_DEPTH_OXY	WQ	12	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	15	73.58
7/19/2012	FISHERIES_DEPTH_OXY	WQ	15	74.84
7/19/2012	FISHERIES_DEPTH_OXY	WQ	15	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	18	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	20	74.3
7/19/2012	FISHERIES_DEPTH_OXY	WQ	20	74.84
7/19/2012	FISHERIES_DEPTH_OXY	WQ	21	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	24	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	25	74.3
7/19/2012	FISHERIES_DEPTH_OXY	WQ	25	74.66
7/19/2012	FISHERIES_DEPTH_OXY	WQ	27	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	30	74.3
7/19/2012	FISHERIES_DEPTH_OXY	WQ	30	74.66
7/19/2012	FISHERIES_DEPTH_OXY	WQ	30	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	33	74.3
7/19/2012	FISHERIES_DEPTH_OXY	WQ	36	74.66
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	70.7
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	70.88
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	71.42
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	73.04
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	74.12
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	74.3
8/13/2012	FISHERIES_DEPTH_OXY	WQ	0	74.66
8/13/2012	FISHERIES_DEPTH_OXY	WQ	3	73.04
8/13/2012	FISHERIES_DEPTH_OXY	WQ	3	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	3	73.94
8/13/2012	FISHERIES_DEPTH_OXY	WQ	3	74.12
8/13/2012	FISHERIES_DEPTH_OXY	WQ	3	74.48
8/13/2012	FISHERIES_DEPTH_OXY	WQ	6	73.04
8/13/2012	FISHERIES_DEPTH_OXY	WQ	6	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	6	73.94
8/13/2012	FISHERIES_DEPTH_OXY	WQ	6	74.12
8/13/2012	FISHERIES_DEPTH_OXY	WQ	6	74.3
8/13/2012	FISHERIES_DEPTH_OXY	WQ	9	73.04
8/13/2012	FISHERIES_DEPTH_OXY	WQ	9	73.4
8/13/2012	FISHERIES_DEPTH_OXY	WQ	9	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	9	73.94
8/13/2012	FISHERIES_DEPTH_OXY	WQ	9	74.12
8/13/2012	FISHERIES_DEPTH_OXY	WQ	12	72.86
8/13/2012	FISHERIES_DEPTH_OXY	WQ	12	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	12	73.76
8/13/2012	FISHERIES_DEPTH_OXY	WQ	12	74.12
8/13/2012	FISHERIES_DEPTH_OXY	WQ	15	72.86
8/13/2012	FISHERIES_DEPTH_OXY	WQ	15	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	15	73.4
8/13/2012	FISHERIES_DEPTH_OXY	WQ	15	73.58
8/13/2012	FISHERIES_DEPTH_OXY	WQ	15	73.94
8/13/2012	FISHERIES_DEPTH_OXY	WQ	18	72.68
8/13/2012	FISHERIES_DEPTH_OXY	WQ	18	73.22
8/13/2012	FISHERIES_DEPTH_OXY	WQ	18	73.4
8/13/2012	FISHERIES_DEPTH_OXY	WQ	18	73.58
