"DateTime"	"Depth"	"temp"
1998-09-21	0	18.8888888888889
1998-09-22	0	17.7777777777778
1998-09-23	0	16.6666666666667
1998-09-24	0	16.6666666666667
1998-09-25	0	16.1111111111111
1998-09-29	0	16.1111111111111
1998-09-30	0	16.1111111111111
1999-08-31	0	21.6666666666667
1999-09-01	0	22.7777777777778
1999-09-02	0	22.2222222222222
1999-09-07	0	20.7222222222222
1999-09-08	0	20.3888888888889
1999-09-09	0	19
1999-09-10	0	18.2222222222222
1999-09-13	0	17.5
1999-09-14	0	16.8333333333333
1999-09-15	0	15.7222222222222
1999-09-16	0	15.6111111111111
1999-09-17	0	17.0555555555556
1999-09-18	0	17.2222222222222
1999-09-20	0	15.6666666666667
1999-09-21	0	15.5
1999-09-22	0	16.2222222222222
1999-09-23	0	15.8888888888889
2000-05-09	0	13.8888888888889
2000-05-25	0	14.7222222222222
2000-09-05	0	18.3333333333333
2000-09-07	0	18
2000-09-08	0	18.8333333333333
2000-09-11	0	19.3888888888889
2000-09-12	0	18.3333333333333
2000-09-14	0	16.3888888888889
2000-09-18	0	17.7777777777778
2000-09-19	0	16.6666666666667
2000-09-20	0	16.6666666666667
2000-09-21	0	16.6666666666667
2000-09-24	0	15
2000-09-25	0	15
2000-09-26	0	15
2000-09-27	0	14.4444444444444
2000-09-28	0	13.3333333333333
2001-08-06	0	29.4444444444444
2001-09-04	0	21.5
2001-09-05	0	21
2001-09-07	0	21.3888888888889
2001-09-10	0	20
2001-09-11	0	19.8888888888889
2001-09-12	0	20.3333333333333
2001-09-15	0	17.3888888888889
2001-09-16	0	17.7777777777778
2001-09-17	0	17.2222222222222
2001-09-19	0	17.6111111111111
2001-09-20	0	17.6111111111111
2001-09-22	0	16.6666666666667
2001-09-23	0	16.6666666666667
2001-09-24	0	15.8333333333333
2001-09-25	0	15.3888888888889
2002-07-08	0	23.7222222222222
2002-07-09	0	24.7777777777778
2002-07-11	0	22.6111111111111
2002-07-17	0	28.3333333333333
2002-08-05	0	22.3888888888889
2002-08-06	0	21.3333333333333
2002-09-03	0	20.8888888888889
2002-09-04	0	20.5
2002-09-05	0	21
2002-09-06	0	20.3888888888889
2002-09-10	0	20.8888888888889
2002-09-11	0	21.7222222222222
2002-09-17	0	19.7777777777778
2002-09-18	0	20.3333333333333
2002-09-19	0	19.4444444444444
2002-09-23	0	16.1111111111111
2002-09-24	0	14.3333333333333
2002-09-25	0	16.1111111111111
2002-09-26	0	14.7777777777778
2002-09-27	0	14.7777777777778
2002-09-28	0	14.1111111111111
2002-09-29	0	13.7777777777778
2003-08-16	0	26.3
2003-09-02	0	20.8888888888889
2003-09-03	0	20.3888888888889
2003-09-04	0	19.8888888888889
2003-09-08	0	21.6666666666667
2003-09-11	0	18.3888888888889
2003-09-12	0	19.4444444444444
2003-09-14	0	18.3333333333333
2003-09-15	0	18.3333333333333
2003-09-16	0	18.6111111111111
2003-09-17	0	18.3333333333333
2003-09-18	0	18.6111111111111
2003-09-21	0	17.7777777777778
2003-09-22	0	17.2222222222222
2004-08-31	0	20
2004-09-01	0	17.8333333333333
2004-09-07	0	17.2222222222222
2004-09-08	0	17.4444444444444
2004-09-11	0	20
2004-09-12	0	18.3333333333333
2004-09-13	0	17.7777777777778
2004-09-14	0	19.4444444444444
2004-09-15	0	17.7777777777778
2004-09-20	0	18.3333333333333
2004-09-21	0	18.3333333333333
2004-09-22	0	17.2222222222222
2005-06-02	0	15.5555555555556
2005-08-31	0	19.4444444444444
2005-09-01	0	19.4444444444444
2005-09-02	0	18.8888888888889
2005-09-07	0	20.5555555555556
2005-09-13	0	19.4444444444444
2005-09-14	0	18.8888888888889
2005-09-19	0	18.3333333333333
2005-09-20	0	18.8888888888889
2005-09-25	0	17.7777777777778
2005-09-26	0	17.2222222222222
2006-04-17	0	11.3888888888889
2006-04-18	0	10
2006-04-19	0	8.88888888888889
2006-04-20	0	8.88888888888889
2006-04-23	0	11.6666666666667
2006-04-24	0	10.5555555555556
2006-04-25	0	10
2006-04-26	0	10.5555555555556
2006-04-27	0	11.6666666666667
2013-10-21	0	9.72222222222222
2013-10-22	0	8.88888888888889
2013-10-28	0	5.55555555555556
2013-10-29	0	4.44444444444444
2013-10-30	0	4.72222222222222
2001-09-21	9.9698787648	17.54
2001-09-21	8.99989056	17.53
2001-09-21	7.99990272	17.54
2001-09-21	6.99991488	17.56
2001-09-21	5.99992704	17.56
2001-09-21	4.9999392	17.56
2001-09-21	3.99995136	17.58
2001-09-21	2.99996352	17.61
2001-09-21	1.99997568	17.65
2001-09-21	0.99998784	17.66
2001-09-21	0	17.66
2001-09-21	11.699857728	17.43
2001-09-21	10.99986624	17.43
2001-09-21	9.9998784	17.43
2001-08-07	3.99995136	25.35
2001-08-07	2.99996352	25.82
2001-08-07	1.99997568	26.8
2001-08-07	0.99998784	27.64
2001-08-07	0	27.85
2001-08-07	4.9999392	24.98
2001-08-07	9.699882048	23.59
2001-08-07	8.99989056	23.9
2001-08-07	7.99990272	24.3
2001-08-07	6.99991488	24.65
2001-08-07	5.99992704	24.83
2001-08-07	10.399873536	23.25
2001-08-07	9.9998784	23.27
2001-07-16	6.99991488	21.34
2001-07-16	5.99992704	22.17
2001-07-16	4.9999392	22.39
2001-07-16	3.99995136	22.42
2001-07-16	2.99996352	22.44
2001-07-16	1.99997568	22.46
2001-07-16	0.99998784	22.48
2001-07-16	0	22.49
2001-07-16	9.899879616	20.59
2001-07-16	8.99989056	20.71
2001-07-16	7.99990272	21.2
2001-07-16	10.49987232	20.4
2001-07-16	9.9998784	20.43
2001-06-28	3.99995136	21.38
2001-06-28	2.99996352	21.41
2001-06-28	1.99997568	21.45
2001-06-28	0.99998784	21.5
2001-06-28	0	21.52
2001-06-28	9.9998784	19.61
2001-06-28	8.99989056	16.65
2001-06-28	7.99990272	19.79
2001-06-28	6.99991488	19.86
2001-06-28	5.99992704	20.54
2001-06-28	4.9999392	21.24
2001-06-21	9.9998784	17.38
2001-06-21	8.99989056	17.41
2001-06-21	7.99990272	17.58
2001-06-21	6.99991488	17.63
2001-06-21	0.99998784	18.02
2001-06-21	5.99992704	17.66
2001-06-21	4.9999392	17.71
2001-06-21	3.99995136	17.73
2001-06-21	2.99996352	17.82
2001-06-21	1.99997568	17.94
2001-06-21	0	18.16
2001-06-21	10.799868672	17.27
2001-05-25	7.99990272	11.76
2001-05-25	9.399885696	11.76
2001-05-25	8.99989056	11.76
2001-05-25	6.99991488	11.76
2001-05-25	5.99992704	11.76
2001-05-25	4.9999392	11.76
2001-05-25	3.99995136	11.76
2001-05-25	2.99996352	11.76
2001-05-25	1.99997568	11.76
2001-05-25	0.99998784	11.76
2001-05-25	0	11.76
2001-05-25	10.399873536	11.61
2001-05-25	9.9998784	11.61
2000-08-22	8.99989056	21.1
2000-08-22	7.99990272	21.13
2000-08-22	6.99991488	21.17
2000-08-22	5.99992704	21.18
2000-08-22	4.9999392	21.18
2000-08-22	3.99995136	21.27
2000-08-22	2.99996352	21.41
2000-08-22	1.99997568	21.68
2000-08-22	0.99998784	21.76
2000-08-22	0	21.78
2000-08-22	9.899879616	20.9
2000-08-04	8.99989056	22.04
2000-08-04	7.99990272	22.78
2000-08-04	6.99991488	22.89
2000-08-04	5.99992704	22.91
2000-08-04	4.9999392	22.91
2000-08-04	3.99995136	22.92
2000-08-04	2.99996352	22.98
2000-08-04	0	23.25
2000-08-04	1.99997568	23.19
2000-08-04	0.99998784	23.25
2000-08-04	9.899879616	22.21
2000-07-19	6.99991488	21.36
2000-07-19	5.99992704	21.43
2000-07-19	4.9999392	21.45
2000-07-19	3.99995136	21.68
2000-07-19	2.99996352	21.92
2000-07-19	1.99997568	22.24
2000-07-19	0.99998784	22.51
2000-07-19	0	22.49
2000-07-19	10.099877184	21.61
2000-07-19	8.99989056	21.64
2000-07-19	7.99990272	21.67
2000-06-29	7.299911232	14.04
2000-06-29	6.99991488	14.29
2000-06-29	5.99992704	14.5
2000-06-29	4.9999392	14.66
2000-06-29	3.99995136	14.69
2000-06-29	2.99996352	14.69
2000-06-29	1.99997568	14.71
2000-06-29	0.99998784	14.73
2000-06-29	0	14.74
2000-06-29	8.99989056	14.08
2000-06-29	7.99990272	14.35
2000-06-15	5.99992704	17.18
2000-06-15	4.9999392	17.17
2000-06-15	3.99995136	17.17
2000-06-15	2.99996352	17.16
2000-06-15	1.99997568	17.17
2000-06-15	0.99998784	17.17
2000-06-15	0	17.17
2000-06-15	8.99989056	17.18
2000-06-15	7.99990272	17.18
2000-06-15	6.99991488	17.19
2000-06-15	9.9998784	17.11
2000-05-30	0	14.74
2000-05-30	6.99991488	14.28
2000-05-30	5.99992704	14.5
2000-05-30	4.9999392	14.66
2000-05-30	3.99995136	14.69
2000-05-30	2.99996352	14.69
2000-05-30	1.99997568	14.71
2000-05-30	0.99998784	14.73
